surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,annee_construction,balcon,terrasse,parking,distance_centre,distance_transport,score_commerces,prix,surface_par_piece,quartier_Belleville,quartier_Marais,quartier_Montmartre,quartier_Saint-Germain,type_bien_Duplex,type_bien_Loft,type_bien_Maison,type_bien_Studio,etat_Correct,etat_Neuf,etat_Très bon,etat_À rénover,chauffage_Individuel gaz,chauffage_Individuel électrique,chauffage_Pompe à chaleur,classe_energie_B,classe_energie_C,classe_energie_D,classe_energie_E,classe_energie_F,classe_energie_G
1.8170079099050909,1.7781765835780143,2.0469347742702855,-0.9127600516957498,0,1984.0,1,0,0.0,-1.2014106641719353,-0.04872992995063331,-0.42636802588611145,1903939.0665939187,0.19485116485916798,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
-0.6655161392214534,-0.3443356115043728,-0.44779502514724795,-0.11681496270133813,0,1900.0,1,0,0.0,1.1335375193961208,-0.09558373155297213,-0.42636802588611145,525053.8672565067,-0.624297736818112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.5334383112377844,0.7169204860368208,1.423252324415902,1.0771026707902793,1,2014.0,1,0,1.0,-1.640443999383191,0.038446822170222855,1.7551714439851585,1372296.966177088,-0.08619473364718733,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0.5106861255446153,1.2475485348074176,1.423252324415902,-0.11681496270133813,0,1856.0,0,0,0.0,0.49153344079253947,-0.23056082590054405,-1.1535478491765347,1054674.4829084985,-0.38432323705590404,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
-0.4716338365478929,0.186292437266224,0.17588742470713542,2.271020304281897,1,1973.0,0,0,1.0,0.7443711716936483,0.3217446839733954,-0.0627781142408998,765388.419567933,-0.7110163256024129,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.5166209436250484,0.186292437266224,-0.44779502514724795,-0.5147875071985439,0,2018.0,0,1,0.0,0.7570646193936329,-0.26801764620392826,-1.5171377608217465,3521088.7695460324,2.405714707801123,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.197237803787123,-1.4055917090455665,-1.6951599248560147,0.2811575817958677,1,2002.0,1,1,1.0,0.12915422970806067,0.31304352221143933,-0.0627781142408998,186493.85147819028,-0.5311342737199771,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
-0.9998983871852559,-1.4055917090455665,-1.6951599248560147,0.2811575817958677,1,1924.0,0,0,2.0,-0.8754632754011065,-0.05517176237893059,-1.5171377608217465,395444.0984195577,0.29216083206239213,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.21689865477744313,-0.3443356115043728,-0.44779502514724795,0.2811575817958677,1,1951.0,1,0,0.0,0.3020479466394087,-0.0622629865185248,-0.7899579375313232,967031.474881812,-0.0004240987462586355,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
-0.18665502986711516,-0.3443356115043728,-0.44779502514724795,0.2811575817958677,1,1894.0,0,0,0.0,1.750986533148962,-0.25551713957134975,1.391581532339947,1214142.5717674284,0.04163444991835935,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.7228425349165172,0.7169204860368208,0.7995698745615187,1.4750752152874853,1,1904.0,1,0,1.0,0.6977214694408749,0.17061971042917912,-1.5171377608217465,1692230.9257922445,0.07184320226483606,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.1164899604120002,-1.4055917090455665,-1.6951599248560147,-0.5147875071985439,0,1975.0,1,0,1.0,0.7626085345847898,-0.3386375154178317,0.30081179740431185,228086.26372292373,-0.19425629263552918,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.5281069485015971,-0.3443356115043728,0.17588742470713542,-0.11681496270133813,0,1923.0,0,0,2.0,2.6879162548265403,-0.10576173669994993,0.30081179740431185,632939.4788790527,-0.433208502244142,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-0.6658468882174903,-0.3443356115043728,-0.44779502514724795,1.4750752152874853,1,2007.0,0,0,1.0,0.7897424947564694,-0.30410212474023285,-0.7899579375313232,591872.1837109497,-0.6247576956618961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.22659780047039138,0.186292437266224,0.17588742470713542,1.0771026707902793,0,1917.0,0,0,1.0,-1.0607712021315239,-0.24202400647547212,-1.1535478491765347,1640363.117539276,0.01723490184918168,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.3520542018812174,-0.3443356115043728,-1.0714774750016314,1.8730477597846913,1,2008.0,0,0,0.0,-0.6963191339790445,0.7824862942025231,0.30081179740431185,980974.09097786,-0.1883792850710283,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
-0.23125869580323966,-0.3443356115043728,0.17588742470713542,-0.9127600516957498,0,1968.0,1,0,1.0,-0.7202146510769013,-0.2803073397016815,1.7551714439851585,1143232.0519571367,-0.02039400930096605,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.27505049456560676,0.186292437266224,-0.44779502514724795,-0.9127600516957498,0,1990.0,1,1,0.0,-1.0796382866897307,-0.26947670655015854,0.30081179740431185,1296322.7658225007,0.06777075854404703,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-0.34397103465385986,-0.3443356115043728,-0.44779502514724795,-0.9127600516957498,1,1966.0,1,0,0.0,-0.4304318961833649,-0.28341812670739003,1.7551714439851585,761174.5548301999,-0.17713836129935556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.0017419962132262587,1.2475485348074176,0.7995698745615187,-0.9127600516957498,0,2017.0,1,0,1.0,0.3670984273019446,-0.09765260550237141,1.0279916206947353,1009939.372941111,-0.7382069314629522,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
